	2000	2003	2004	2007	2008	2011	2012	2016
f_i	3.31039900E-02	1.57273000E-01	4.92952700E-02	3.98946400E-02	1.30201000E-02	1.20941800E-01	8.43978800E-02	2.21630000E-01
f_e	3.23301800E-05	3.25191300E-03	8.69651000E-05	1.59642400E-04	1.65493900E-06	3.22594700E-03	2.04182000E-03	2.19202200E-02
alpha	3.33411100E+00	3.33411100E+00	1.66755600E+00	1.66755600E+00	1.66755600E+00	1.75555600E+00	3.41111100E+00	1.66755600E+00
tau	7.11282800E-01	5.83640400E-01	6.92307700E-01	6.71108800E-01	7.55319100E-01	6.05784600E-01	6.52860000E-01	4.78813600E-01
nu	5.36609100E-01	3.57954500E-01	7.15403200E-01	6.60550500E-01	7.01883700E-01	4.81481500E-01	6.51275800E-01	4.91271800E-01
sigma_nu	1.57676700E-01	1.18856100E-01	1.32726000E-01	1.37325600E-01	1.20471300E-01	1.54412700E-01	1.29153800E-01	1.29821800E-01
sigma_tau	1.10259100E-01	1.33211500E-01	1.34965400E-01	1.35347600E-01	1.70759800E-01	1.34852100E-01	1.10636500E-01	1.25172200E-01
theta	7.09231800E-01	2.65968200E-01	4.43273600E-01	5.31926400E-01	5.31926400E-01	3.54620900E-01	3.54634200E-01	2.65968200E-01
